1433471275.97, [-542, 1010, 4967], [-125, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471282.01, [-536, 1012, 4976], [-123, 1, 20], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471282.07, [-540, 1010, 4983], [-125, -4, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471282.19, [-538, 1010, 4978], [-126, 5, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471282.31, [-542, 1010, 4978], [-126, 7, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471282.43, [-543, 1008, 4974], [-124, 1, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471282.56, [-539, 1007, 4969], [-125, 1, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471282.68, [-541, 1009, 4982], [126, 2, 27], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471282.8, [-540, 1013, 4982], [-126, 5, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471282.92, [-538, 1003, 4979], [-126, 1, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471283.04, [-543, 1013, 4978], [-126, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471283.16, [-541, 1010, 4977], [-127, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471283.28, [-541, 1015, 4965], [-125, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471283.4, [-540, 1013, 4980], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471283.53, [-536, 1007, 4968], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471283.65, [-537, 1013, 4968], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471283.77, [-537, 1009, 4972], [-126, 4, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471283.9, [-535, 1008, 4974], [-126, 3, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471284.02, [-538, 1011, 4981], [-125, 3, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471284.14, [-540, 1016, 4987], [-126, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471284.26, [-539, 1018, 4984], [-124, 4, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471284.38, [-537, 1011, 4982], [-127, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471284.5, [-538, 1010, 4976], [-125, 2, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471284.62, [-542, 1008, 4979], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471284.74, [-539, 1009, 4970], [-125, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471284.86, [-542, 1003, 5001], [-128, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471284.99, [-543, 996, 4988], [-125, 3, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471285.11, [-533, 997, 4988], [-125, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471285.23, [-531, 993, 4984], [-126, 4, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471285.35, [-533, 993, 4959], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471285.48, [-543, 997, 4958], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471285.6, [-541, 1008, 4977], [-125, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471285.72, [-539, 1007, 4981], [-126, 0, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471285.84, [-546, 1008, 4979], [-126, 4, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471285.96, [-539, 1010, 4970], [-126, 3, 19], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471286.09, [-542, 1012, 4978], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471286.23, [-539, 1006, 4977], [-125, 3, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471286.35, [-543, 1008, 4966], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471286.45, [-540, 1005, 4980], [-126, 4, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471286.57, [-543, 1008, 4978], [-125, 2, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471286.69, [-545, 1005, 4965], [-125, 3, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471286.81, [-547, 1005, 4989], [-127, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471286.93, [-544, 1009, 4983], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471287.05, [-545, 1007, 4988], [-126, 3, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471287.18, [-555, 1004, 4981], [-125, 1, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471287.3, [-559, 1002, 5010], [-128, 7, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471287.43, [-556, 991, 5020], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471287.55, [-542, 980, 5038], [-127, 4, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471287.67, [-525, 974, 5031], [-124, 4, 21], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471287.79, [-511, 970, 5021], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471287.91, [-510, 979, 5006], [-125, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471288.03, [-517, 985, 4982], [-127, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471288.15, [-524, 986, 4974], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471288.28, [-532, 996, 4970], [-126, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471288.4, [-534, 999, 4969], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471288.52, [-540, 1004, 4974], [-126, 5, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
