64_120_0_c2_s1,20161005_20:27:03_165028,20161005_20:29:03_149672
64_180_0_184109_c1s1_c2s2,20161005_18:41:09_641369,20161005_18:44:09_632245
64_180_0_210838,20161005_21:08:38_189054,20161005_21:11:38_180746
64_180_0_c2_s1,20161005_18:22:32_828109,20161005_18:25:32_812547
64_180_0_c2_s2,20161005_18:34:58_332398,20161005_18:37:58_316780
64_180_0_c2_s3,20161005_18:29:22_728673,20161005_18:32:22_714232
64_180_0_s2_211656,20161005_21:16:56_314898,20161005_21:19:56_300316
64_180_10_c2_s1,20161005_18:27:38_693202,20161005_18:30:38_678273
64_180_1_c2_s2,20161005_18:47:52_329568,20161005_18:50:52_314205
64_180_20_c2_s2,20161005_21:12:20_646541,20161005_21:15:20_632413
64_300_0_150142,20161005_15:01:42_053385,20161005_15:06:42_042139
64_600_0_c2_s1,20161005_18:33:02_403911,20161005_20:16:44_010885
64_600_1_c2_s1,20161005_20:30:56_580288,20161005_20:40:56_563763
