120fov128hz,20160915_23:08:46_239832,20160915_23:13:46_603323
120fov16hz,20160915_22:51:52_582711,20160915_22:56:52_563872
120fov256hz,20160915_23:14:20_427675,20160915_23:19:28_154192
120fov32hz,20160915_22:57:29_528325,20160915_23:02:29_578812
120fov64hz,20160915_23:02:57_779355,20160915_23:07:57_933171
60fov128hz,20160915_23:30:57_105085,20160915_23:33:57_324828
60fov128hztemp,20160915_23:30:57_105085,20160915_23:33:57_324828
60fov16hz,20160915_23:20:25_113886,20160915_23:23:25_076608
60fov16hztemp,20160915_23:20:25_113886,20160915_23:23:25_076608
60fov256hz,20160915_23:35:17_160671,20160915_23:36:18_369417
60fov256hztemp,20160915_23:35:17_160671,20160915_23:36:18_369417
60fov32hz,20160915_23:23:56_540191,20160915_23:26:56_558517
60fov32hztemp,20160915_23:23:56_540191,20160915_23:26:56_558517
60fov64hz,20160915_23:27:23_274244,20160915_23:30:23_356592
60fov64hztemp,20160915_23:27:23_274244,20160915_23:30:23_356592
